id;transcription;collection;period;publication_type;publication_year;publication_month;publication_day;publication_name;publication_country;publication_volume;publication_number;publication_pages;publication_reviewer;archive_name;archive_url;accessed;transcribed;annotated;comments
84;"We fear that Mr. Oscar Wilde's enemies (supposing him to be capable of possessing any) must have seen in this handsome book a deliberate provocation to the bourgeois au front glabre. Amid the pomegranates and other trimmings on the cover, there is a back view of a peacock which looks for all the world like that of an elderly spinster with her hands behind her back, and her profile turned towards the beholder. Mr. Shannon and Mr. Ricketts have sprinkled the pages with devices rare and strange in the latest and straitest school of Neo-Preraphaelitism, and the chief illustrations in the book are of a most absolute fancy. Mr. Wilde has, we observe, protested in the public press against the judgment that they are invisible, and, strictly speaking, they are not. But being printed in very faint grisaille on very deeply cream-tinted plate paper, they put on about as much invisibility as is possible to things visible, and as they are arranged, neither facing letterpress nor with the usual tissue guard, but with a blank sheet of paper of the same tint and substance opposite them, a hasty person might really open the leaves and wonder which side the illustration was. Nevertheless, we rather like them, for when you can see them, they are by no means uncomely, and they suit their text---a compliment which we are frequently unable to pay to much more commonplace instances of the art of book illustration. 
In the case of the text, also, hasty judgment is likely to be unduly harsh judgment. The pomegranates that compose the house---the grains that make up the pomegranate would have been a better metaphor---are four in number, and are all tales of the Märchen order, though one is something even more of a fabliau than of a Märchen. This is called 'The Birthday of the Infanta', and tells, to put it very shortly, how a certain little Spanish princess had an ugly dwarf who loved her, and died of a broken heart when he found out, not only how ugly he himself was, but how his beloved mistress thought of him as nothing but a fantastic toy. 'Tis an ower true tale. But we are not sure that Mr. Wilde's manner of telling it is quite the right one. The first and the last of the four, 'The Young King', and 'The Star Child', are pretty enough moralities; the first of halfmediaeval, half-modern Socialist strain. The other tells how a child was cured of cruelty, partly by some metaphysical aid, partly (we do not know whether Mr. Wilde intended to draw this part of the moral, but he has) by sound beatings and a not excessive allowance of bread and water. 

But the third piece, 'The Fisherman and his Soul', is much longer, as long, indeed, as any two of them, and to our fancy a good deal better. It tells how a fisherman fell in love with a mermaid, and, to gain her, consented to part with, but not in the ordinary fashion to sell, his soul; how after a time he grew weary of his happiness, went to look after his soul, and found her, divorced as she was from his or any heart, a rather unpleasant, not to say immoral, companion; how he in vain endeavoured to return once more to his mermaid and only found her dead, when he and she and the soul were reunited once for all; and how, when the dead bodies of the pair were found and buried in unhallowed ground, there came a miracle converting to charity the heart of the parish priest who had cast them out. The separate ingredients of the piece are, of course, not very novel; but, to tell the truth, the separate ingredients of a story of this kind hardly can be, and Mr. Wilde has put them together with considerable skill, and communicated to the whole an agreeable character. The little mermaid is very nice, both when she is caught literally napping, and when she sings, and when she explains the necessity of her lover parting with his soul if he will have her. Also the young witch (to whom, when the parish priest has, not unnaturally, declined to unsoul him, the fisherman goes) is pleasing. She had red hair, and in gold tissue embroidered with peacock's eyes and a little green velvet cap she must have looked very well. The Sabbath, too, is good (there are too few Sabbaths in English), though the gentlemanly Satan is not new. Good, too, is the business-like manner in which the fisherman separates his soul from him by a device not impossibly suggested by one Adelbert von Chamisso, a person of ability. The adventures of the discarded and heartless soul are of merit, and it is a very good touch to make the fisherman's final, and hardly conscious, desertion of his mermaid-love turn on nothing more than a sudden fancy to dance, and the remembrance that she had no feet and could not dance with him. It is particularly satisfactory to learn that the mermaid's tail was of pearl-and-silver. There has been an impression in many circles that mermaids' tails are green, and we have always thought that it would be unpleasant to embrace a person with a green tail. But pearl-and-silver is quite different.";A House of Pomegranates;1;Original contemporary review;1892;2;6;The Saturday Review;United Kingdom;LXXIII;1893;160;;HathiTrust Digital Library;https://hdl.handle.net/2027/hvd.32044010020865?urlappend=%3Bseq=176%3Bownerid=114516320-196;2022-02-02;2022-02-02;2025-01-21;
85;"The first of Mr. Oscar Wilde's allegories or parables, or whatever he may call them, is admirable. A young king, who is a passionate lover of the beautiful, dreams on the eve of his coronation sundry dreams in which he sees how the splendors on which his heart is set are won by the sufferings and death of thousands of unknown toilers. So struck is he by these visions, that he will have none of the glories with which it is intended to adorn him for his coronation. He goes to the church with a rude cloak of sheepskin and a leathern tunic, and a wreath of wild briar round his head; but the sunlight streaming through the painted window envelops him with such a splendor that none can refuse to honor him. The 'Birthday of the Infanta' shows the pathos of a loving soul lodged in a deformed body. As to 'The Fisherman and his Soul', we cannot exactly see the scope of it. The fisherman gets rid of his soul in order to win the love of a mermaid, and the soul sent out without a heart commits all kinds of atrocities. That is a fine idea; but the purport of the whole eludes us. Mr. Wilde writes, as usual, in a highly ornate style. (*Spectator*)";A House of Pomegranates;1;Original contemporary review;1892;4;23;The International Bookseller;United States of America;I ;5;101;;HathiTrust Digital Library;https://babel.hathitrust.org/cgi/pt?id=nyp.33433069135121&seq=109;2022-02-02;2022-02-02;2025-01-21;
86;This consists of four stories---'The Young King', 'The Birthday of the Infanta', 'The Fisherman and his Soul, and 'The Star Child'. They are each distinguished by the delicate grace which the author is capable of imparting to works of romance, and are extremely fascinating. 'The Young King' shows how that monarch, a lad of but sixteen, had, on succeeding to the throne of his father, a strange and secret yearning for the beautiful. One day he feels peculiarly drowsy. 'Outside he could see the huge dome of the cathedral, looming like a bubble over the shadowy houses, and the weary sentinels pacing up and down on the misty terrace by the river. Far away in an orchard a nightingale was singing. A faint perfume of jasmin [sic] came through the open window. He brushed his brown curls back from his forehead, and, taking up a lute, let his fingers stray across the chords. His heavy eyelids drooped, and a strange languor came over him. Never before had he felt so keenly or with such exquisite joy the magic and the mystery of beautiful things'. He now has three dreams and in these dreams he is shown how the beautiful jewels and dresses he so much admires are produced---the men who lose their lives in diving for pearls, the poor labourers, young and old, who toil at weaving. And the young king's eyes are marvellously opened, and he refuses the bright things he would otherwise have joyously accepted. It is a beautifully told allegory, and the same may be said of the other contents of the volume. The design and decoration of the book are by C. Ricketts and C. H. Shannon.;A House of Pomegranates;1;Original contemporary review;1891;12;;The Publishers' Circular and General Record of British and Foreign Literature;United Kingdom;55;;62;;HathiTrust Digital Library;https://babel.hathitrust.org/cgi/pt?id=njp.32101079672109&seq=740;2022-02-02;2022-02-02;2025-01-21; Christmas edition
87;"Of illustrated books recently published, the following demand more than a mere note; there would not be room else to show the character of the illustrations, which are in each case so important a feature. For the sake of his reputation as a worshipper at the shrine of Beauty it is to be regretted that Mr, Oscar Wilde has told us that he 'admires immensely' the design of the cover for his new book of fairy tales---it may reasonably be supposed that the cover of a book should in itself be attractive, even if it be ugly, for it must be admitted that there is sometimes an extraordinary attractiveness and fascination about ugliness; but ... Wilde's cover is not ugly enough to be fascinating, though it would be difficult to find a design ... similar purpose so devoid of charm. 
No more need have been said about this cover had not Mr. Wilde attempted to defend it, and by description and argument, ... tried to make us like it against our better judgment. A critic wrote that a portion of the design of the left hand side of the cover reminded him of 'an Indian club with a house-painter's brush on the top of it', while a portion on the right suggested to him the idea of 'a chimney pot hat with a sponge in it'. As a matter of fact, the one is intended to be a back view of a peacock, and the other to be some sort of fountain; but they certainly are more like the objects mentioned by the critic, In the Speaker of December 5th, Mr. Wilde attempts to show that it does not matter what the details of a design suggest---peacocks, pomegranates, splashing fountains of gold water, or Indian clubs and chimney-pot hats---it is a matter of indifference, and has nothing to do with the aesthetic quality and value of the design; and this would have been true had Mr. Wilde been speaking of forms used in repetition to produce a pattern, Almost any form may be used for this purpose, and a good result obtained; but the peacock and the fountain, or the club and chimney-pot hat, are objects separate from the pattern on the cover. They are large, independent figures, standing by themselves, and are emphasized by being in gold. Under such circumstances it matters very considerably what the form may be, though, if the form be beautiful, the object it represents may be a matter of indifference; bat, clever as Mr. Wilde may be, it will puzzle him to discover a single beautiful line or form about this disputed portion of his design. The drawings by Mr. Ricketts, which embellish but hardly illustrate the stories, have a good deal of that interest which attaches to his work generally. For such small illustrations they are, perhaps, drawn in rather too coarse a line; but Mr, Ricketts evidently admires and follows the old German and Italian line drawings, and there is no doubt about their admirable simplicity. But the coarser lines of the old engravings were due to the necessary coarseness of their execution and materials, and not to choice. The work had to obey the limits of tools, and this working within imposed limits produces what we understand as 'style'. We do not care to discuss the question whether a modern artist should impose on himself limits unavoidable by the old masters, but net necessary to us. Every artist decides such matters for himself. Personally, we prefer Mr. Ricketts when he works with a finer line; but, whatever the thickness of his line, his pen-work is always interesting and never commonplace. As to the drawings by Mr. Shannon we cannot sty anything, because we cannot see anything. We can only suppose that Mr. Wilde is ashamed of them, but, having commissioned them, felt bound to use them. They are printed on separate pages, but in so faint a tone that it is simply affectation to have printed them at all. If it is purposely done to prevent the seeing of intention in the artist's work, it is perfectly successful.";A House of Pomegranates;1;Original contemporary review;1892;1;1;The Magazine of Art;United Kingdom;15;;135–136;;HathiTrust Digital Library;https://hdl.handle.net/2027/mdp.39015018393531?urlappend=%3Bseq=162%3Bownerid=13510798897081713-174;2022-02-03;2022-02-03;2025-01-21;
88;"...
Thackeray and Kingsley both tried their hands at what, for the sake of a better and more comprehensive word, we call fairy-tales. The ' Rose and the Ring', and the 'Waterbabies', have become 'classics of the nursery ' and schoolroom, and for many years there have been floods of translations from Russian, Scandinavian, and Eastern sources, to say nothing of originals like 'Alice in Wonderland', or Lord Brabourne's and Mr. Andrew Lang's *märchen*. Mrs. Molesworth's Four-Winds Farm is a delightful book, and Mr. Oscar Wilde has written some very imaginative stories, perhaps more ethical in their suggestive meaning than we might have expected from a cynical dramatist. His House of Pomegranates is in some ways akin to Dr. George Macdonald's collection, but is more mystical and less purely fanciful. It is sumptuously decorated and illustrated by Mr. C. Ricketts and Mr. Charles Shannon, and in the descriptive passages by which the author seeks to emulate in words the patient skill of the medieval illuminator, we recognise the hand of a leader of the modern esthetic school. The following from 'The Young King' is a good specimen of Mr. Wilde's decorative word-painting:

>'The walls were hung with rich tapestries, representing the Triumph of Beauty. A large press, inlaid with agate and Lapislazuli, filled one corner, and facing the window stood a curiously wrought cabinet with lacquer panels of powdered and mosaiced gold, on which were placed some delicate goblets of Venetian glass anda cup of dark-veined onyx. Pale poppies were broidered on the silk coverlet of the bed, as though they had fallen from the tired hands of sleep, and tall reeds of fluted ivory bare up the velvet canopy, from which great tufts of ostrich plumes sprang, like white foam, to the pallid silver of the fretted ceiling. A laughing Narcissus, in green bronze, held a polished mirror above its head. On the table stood a flat bowl of amethyst'. 

Such passages after a while pall on the reader, as a banquet chiefly composed of luscious fruits and perfumed wines would pall on the appetite, and cause longings for a cool draught of water and the simple fare of childhood. The 'Birthday of the Infanta' is the best of the four stories in Mr. Wilde's volume; it has a less artificial air than the others, and the contrast between the stately Spanish children surrounded by their courtly retinue, and the dwarf who for the first time comes face to face with his own ugly misshapen image, and breaks his heart at the discovery, is both pathetic and dramatic.
But after all, it is to the old ' nursery classics' that we return with renewed zest, and best among all collections of old-world lore is Grimm's Household Tales. It is a veritable storehouse of legend and fairy-tale, we find most of our friends there, Cinderella perhaps a little different from her English namesake, but, at least, not barbarously maltreated as by the late George Cruickshank, who turned her story into a temperance tract. It seems necessary to scientific minds to discover scientific reasons for everything that exists, even for fairy-tales, but it is enough for most people to realise that they are the heritage of children, who, as a rule, prefer the old ' wild tales' to the most elaborate preparation of modern invention.
";A House of Pomegranates;1;Original contemporary review;1894;4;14;The Spectator;United Kingdom;72;3433;508–509;;HathiTrust Digital Library;https://babel.hathitrust.org/cgi/pt?id=uc1.b000548512&seq=7;2022-03-02;2022-03-02;2025-01-21;
40;"The humour of Oscar Wilde's jeu d'esprit thus entitled is of a very different order. As pure farce---and what can be better than farce at its best?---it deserves to live; for it is independent of passing circumstances, and is written with all the grave, simple, matter of fact seriousness which is more essential to farce than to tragedy. Nobody with the slightest sense of humour, or, for that matter, nobody with the strongest, can fail to enjoy the story of a man to whom murder presented itself in the light of a simple duty. It is worth all Mr. Wilde's serious work put together. The stories which follow are also excellent, and their author is to be congratulated on having introduced an entirely new and original ghost to the world---no slight feat in these days. But for its degeneration into sentiment, the story in which it appears would be almost as good in its way as that of 'Lord Arthur's Crime'. ";Lord Arthur Savile's Crime and Other Stories;1;Original contemporary review;1891;8;22;The Graphic: An Illustrated Weekly Newspaper;United Kingdom;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-03-29;2021-03-29;;
62;"The straiter sect of Oscarians may perhaps shake their heads over Mr. Oscar Wilde's book, [of] reprint, *Lord Arthur Savile's Crime, and Other Stories* (London: Osgood, McIlvaine, and Co ...). Except in the description of Lord Arthur's bathroom and bath, the usual wildings of the author's fancy are for the most part absent; there are few derangements of epitaphs, and the whole, even when it is paradoxical, is paradoxical in a simple and straightforward kind of way. The topsy-turvifying in the first story, if insisted on a little too long---the great danger in all these things,---is not unfunny. Lord Arthur Savile, a young man of great beauty (and of more personal goodness than sometimes appertains to Mr, Wilde's young men of great beauty), is engaged (also a good sign) to a girl of marvellous loveliness, Suddenly he is told by a cheiromancer that he will commit a murder. Lord Arthur's high-souled chivalry concludes that it would be base to marry with this doom banging over him, and that the only thing to do is to put the marriage off and get the murder over. 'The unexpected difficulties which arise and the final success may be leftto the reader. The thing, of course, is not original: De Quincey, Champfleury, Mr. Stevenson, and others may claiin royalty on it; but it is fairly done. The other chief story, 'The Canterville Ghost', is a rather quaint combination of a burlesque and a bluette---of Mark Twain and Musaeus, The poor ghost passes into the possession of an American family, and finds all his wonted terrors frustrated by their unfeeling modernity. Yet he is 'laid' at last in the most authentic and romantic manner by Virginia, the daughter of the house. The other two stories, 'A Sphinx Without a Secret' and 'The Model Millionaire', are much slighter, but by no means bad of their kind, As an example of what Mr. Wilde's writing is like when mask and domino are off, the book is interesting.";Lord Arthur Savile's Crime and Other Stories;1;Original contemporary review;1891;7;28;The Manchester Guardian;United Kingdom;;;10;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-18;2021-10-18;;
63;The best ghost story is The Canterville Ghost, by Oscar Wilde.;Lord Arthur Savile's Crime and Other Stories;1;Original contemporary review;1891;7;12;The Muscatine News Tribune;United States of America;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-18;2021-10-18;;
64;"Lord Arthur Savile's Crime, and other Stories' By Oscar Wilde. (Osgqood, Mcllvaine and Co.) The story which gives this little book its name is a piece of logico-whimsicality by Mr. Oscar W. S. Gilbert Wilde. Its subtitle is 'A Study in Duty', just as the subtitle of 'The Pirates of Penzance' was 'The Slave of Duty'. The hero of the opera committed piracy, the hero of the story commits murder, from a sense of duty. In both the author has an odd semblance of satirizing something--heaven only knows what. It is irony in the air---or rather in a vacuum---but it makes pleasant enough reading none the less. 'The Sphinx without a Secret' is a subject for a sketch by M. Oscar Ivanovitch Wilde-Turgueneff [sic], lt is a psychological study with the psychology Ieft out, 'The Canterville Ghost' is a skit on psychical research by Mr. O. A, Lang-Wilde--which accounts for its being a trifle langweilig. The author appears to have taken his inspiration from the following passage in ' The Tour to the Hebrides' : Boswed' Would not you, sir, start as Mr. Garrick does if you saw a ghost?' Johnson: 'I hope not. If I did, I should frighten the ghost'. The ' hylo-idealistic romance' (so the sub title runs) is very like 'In Castle Perilous', but not so amusing. The fourth and last story, entitled 'The Model Millionaire', is an edifying fairy tale by Herr Hans O. Andersen-Wilde. The moral is that if, on encountering a picturesque beggar, you find that you have only a sovereign and some coppers in your pocket, the prudent course is to give him the sovereign on the chance of his turning out to be Baron Hirsch in disguise. There is at least an even chance that he will employ your sovereign in disguising himself---in drink, But the generous soul will decline to dwell on such sordid contingencies. On the whole, the booklet may be commended as very pretty railway reading, for a short journey. It will carry you pleasantly as far as Hitchin; if you are going on to Peterborough, you had better lay in Tit Bits as well.";Lord Arthur Savile's Crime and Other Stories;1;Original contemporary review;1891;7;27;The Pall Mall Gazette;United Kingdom;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-18;2021-10-18;;
65;WILDE'S LATEST VENTURE. He will re-publish some of the effort of his early youth. He has an eye to business. The Priceless Raphael Cartoons Said to Be in Danger---A Special Commission Appointed to Investigate the Report The Characteristics of the Literature of the Nineteenth Century--Volumes of Reminiscences, London, July 18.---From our regular correspondent.---Mr. Oscar Wilde is about to follow the example of all who make a hit in the field of fiction. He is going to republish some short stories contributed to the magazines in the days when he was a more notorious but less famous man than he now is. The temptation profitably to get rid of one's early work is of course, very great, and it is seldom resisted. In the present case, the author has done his best to improve his youthful efforts by re-writing, re-casting and revising where necessary. Four stories have been deemed worthy of republication---'Lord Arthur Savile's Crime', 'The Canterville Ghost', 'The Sphinx secret and 'A Model Millionaire'. The first named story will give the volume its title. It will be published simultaneously in England and America.;Lord Arthur Savile's Crime and Other Stories;1;Original contemporary review;1891;8;3;The Spokane;United States of America;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-18;2021-10-18;;
66;"In a story called 'The Canterville Ghost' written by Oscar Wilde for the Court and Society Review our quondam friend, the apostle of aestheticism, gives the Americans one or two pretty dabs. Mr. Hiram B. Otis, the American minister and his lovely daughter Virginia, are leading characters. Here is one touch:

>>The subjects discussed as have since learned from Mr. Otis, were merely such as form the ordinary conversation of cultured Americans of the better class, such as the Immense superiority of Miss Fanny Davenport over Sarah Bernhardt as an actress; the difficulty of obtaining green corn, buckwheat cakes and hominy even, in the best English houses; the importance of Boston in the development of the world-soul; the advantages of the baggage-check system in railway traveling, and the sweetness of the New York accent as compared to the London drawl. 

In another passage the Ghost says to Virginia:

>>'l don't think would like America'.| suppose because we have no ruins and no curiosities', said Virginia satirically. 
>>'No ruins!' no curiosities!' answered the Ghost; 'you have your navy and your manners'. 

The dahsty thig! ";Lord Arthur Savile's Crime and Other Stories;1;Original contemporary review;1887;3;30;The Buffalo Commercial;United States of America;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-18;2021-10-18;;
67;"THOUGH the public does not care much for short stories they continue to be published. The prolific Mr. Oscar Wilde obliges the town with his 'Lord Arthur Savile's Crime' (Osgood and McIlvaine), which need not detain us long, as indeed it does not long detain the reader. The right kind of student will enjoy no inconsiderable number of grins over Mr. Wilde's work, but the general reader will feel that he is being played with. There are times when a child could play with the general reader, his appetite for ' bob's vorths', doses of drivel at a shilling, is marvellous. Nobody knows why, out of a hundred shilling novels, perhaps one succeeds, while the others fail. Like mining ventures, the production of shilling novels is a perfect hazard,: Only one thing is certain, that the pure chaser does not like being trifled with when once he feels that he is not taken seriously. Now Mr. Wilde takes neither himself, nor his tales, nor the reader seriously, for which we would be the last to blame him. His first story, the 'Crime of Lord Arthur Savile', is a Bab Ballad, in prose, and writ large. It is an exercise in the topsy turvy, the humour of murder is the topic, and that might be left to De Quincy. Then there is a ghost of the broadly waggish kind, reminding us of other comic ghosts, but not to be favourably compared with the on of Mr. Anstey. The ghost story ends, unexpectedly, with a little sentiment. There is also two brief anecdotes; one of them was capable of being made more interesting. That is all, and the whole, though nicely printed, if not very filling at the price of one florin.

Mr. Wilde's little book is only one out of a crowd of new volumes containing brief tales. On the topic of such a a very great deal has been written of late, by critics, mainly by American critics. They speak of 'The Short Story' with deep solemnity, as if it were an important phenomenon in literature, like Tragedy, or Epic, or The Ode. Perhaps the subject is too seriously treated. There have always been differences of length in stories. Some people unfold their narrative in three volumes; some in six pages. In England, the public prefer long novels. The reason, probably, is that the attention of the reader needs only once to be fairly aroused in a long novel if the novel be readable at all. In a volume of a dozen short stories, on the other hand, the attention needs to be wakened up a dozen times, and this is fatiguing. Again, there be many authors who say that if once they have a good situation, al| good notion, they cannot afford to waste it in a few pages. Except for the manual labour they find it just as easy, and a great deal more remunerative, to fill three volumes. Thus novels; are written, and are read, on the lines oft least resistance. Some years ago Mr. FREDERICK BOYLE had a good notion, He published it as a short story, 'The Fetich City', and while it greatly impressed its readers, they were comparatively. few. Similar notions, worked out at length, were later vastly successful, and much in demand. We like body and substance and weight in a tale; we are not content with a suggestion, however admirable many of Mr. R. L. STEVENSON's short stories were excellent, but one man knows them, to twenty who know his more elaborate legends. We have, perhaps, only one modern English, or rather one Anglo-Indian author, whose brief narratives are really popular, and critics keep demanding a long one from him. Apparently, in England money and reputation can hardly be made by brevity. We have no Decameron and in our hearts privately we wonder at the fame of that collection. Hawthorne would be very little known if he were merely the author of 'Twice Told Tales' and of 'Mosses from an Old Manse'. By brief tales Poe indeed won a great reputation, but not an adequate income. As far as money-making goes, he was born too early. Were Poe living now, what a 'boom' he would enjoy and how great would be his price among the Magazines! He did not live long enough to be properly discovered, talked about, and advertised.

The reasons why short stories have not been so successful in Anglo-Saxon lands, as in the native country of the conte, are therefore sufficiently obvious. These reasons are likely to continue in force, Authors will be economical of their inventions, and the public of its attention and interest. Novels will be stuffed with padding, and will meander through three volumes. Our literary tastes will go on being leisurely. One can hardly fancy FIELDING at work on short stories, still less RICHARDSON. These great geniuses needed elbow room. SCOTT notably preferred plenty of space, though he wrote the best of all short stories, 'Wandering  Willie's Tale', and others like 'The Tapestried Chamber' and 'The Laird's Jock', which were excellent. Given an anecdote as a nucleus or germ, and he produced a long romance Mr. KIPLING could have made an excellent conte of six pages out of the dark tradition of the STAIR family. SCOTT preferred to expand it into the 'Bride of Lammermoor', and the world has not regretted his choice. Out of the material of 'The Stolen Letter', Mr. WILKIE COLLINS would easily have spun 2 novel; out of 'The Gold Beetle', another author could have made 2 volume. The more lengthened narrative might have excelled the briefer in contemporary vogue: as to duration the shorter shape seems to have merits. It is, probably, much 2 matter of chance whether a given nucleus is cut down too conte, or expanded into a volume by M. GUY DE MAUPASSANT. In turning over HAWTHORNE'S Note-books we perceive that he could use his notions in either way, exactly as he happened to prefer. Round the essential persons, the essential idea, other ideas and persons rapidly group themselves. The central ides of Mr LEFANU's 'Uncle Silas' was originally an anecdote, and appeared in a brief tale. Afterwards a long romance crystallised around this centre. The question is whether more is lost or gained practically, and for the author's art, by letting the idea expand itself. Authors can decide this for themselves, in accordance with their genius and intellectual habits. In England and America they are likely to obey the law of gravitation, and move in the direction of the greater mass. It is plain, indeed, that they ere even too well disposed to do this, and to expand, or rather to dilute, a notion into three volumes; to offer a huge canvas, where a sketch would suffice. Young authors, beginners, would save themselves much disappointment by trying their skill in half a dozen pages, before trying to become voluminous. But they always ambitious of bigness, to their own sorrow, and in face of frequent rejections. There is always a mart for a feasible short story in the Magazines; there is not always a mart for a long novel of equal merit.";Lord Arthur Savile's Crime and Other Stories;1;Original contemporary review;1891;7;23;The Daily News;United Kingdom;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-18;2021-10-18;;
68;"A rumour was spread abroad the other day that the great Oscar had cut his hair and donned the frock coat of respectability. This dainty little volume proves that with shearing of his locks his great strength---his wit and his humour---has not gone out of him. The stories are gems, but the dazzling facets are not too many; in short (as Mr Micawber used to say), the style is not, as of yore, overloaded with epigram. There are some pretty inventions scattered through the volume too. 'The inordinate passion for pleasure, which is the secret of remaining young', is not so good as 'women over lifesize', but it will pass; so will 'The proper basis for marriage is mutual misunderstanding', and 'The world is a stage, but the play is badly cast'. The title-tale, 'Lord Arthur Savile's Crime', is saved by its humour from being a 'horrible'. The young man, who is about to be married, is told by a cheiromantiat that his hand indicates that he must murder a relative, and after a night of agony he 'sets about the jab, The details are a little gruesome, but there is unmistakable humour in the relation of his Lordship's failures, each of which necessitates a further postponement of his wedding; and the dénouement would be clever were if not that the victim who dress the murderers weird, unfortunately does net satisfy the conditions---he is not a relative; but the greatest novelists make slips like that. The tone of another of the stories is rollicking fun, with an undertone of somewhat cheap pathos. It relates the efforts of an American diplomatist and his family to lay a real ancestral, aristocratic, English ghost, and is most amusing. The Yankees take the phantom seriously but calmly, rub out his pet bloodstains with Pinkerton's Paragon Detergent, and offer him an equally efficacious lubricant for his chains. But the book is worth buying for the working out of the plot. One morsel demands quotation. Having expressed a dislike to America, the ghost is asked satirically if the reason is because America has no ruins and no 'curiosities. 'No ruins! No curiosities!' answered the spirit, 'you have your navy and your manners'.";Lord Arthur Savile's Crime and Other Stories;1;Original contemporary review;1891;7;23;The Glasgow Herald;United Kingdom;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-18;2021-10-18;;
69;Mr. Oscar Wilde is about to follow the example of all who make a hit the field of fiction. He is going to republish some short stories contributed to the magazines in the days when he was a more notorious but less famous man than he now is. The temptation profitably to get rid of one's early work is, of course, very great, and it is seldom resisted, In the present case the author has done his best to Improve his youthful efforts by rewriting, recasting and revising where necessary. Four stories have been deemed worthy of republication: 'Lord Arthur Savile's Crime', 'The Canterville Ghost', 'The Sphinx Without a Secret' and 'A Model Millionaire'. The first-named story will give the volume its title. It will be published simultaneously in England and America.;Lord Arthur Savile's Crime and Other Stories;1;Original contemporary review;1891;8;2;The Times;United States of America;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-18;2021-10-18;;
78;Mr. Oscar Wilde's little book of stories is capital. They are delightfully humorous, witty, and fresh, sparkling with good things, full of vivacity, and well put together. 'The Canterville Ghost' is a first-rate ghost story, told partly from the point of view of the ghost himself---a most refreshing novelty--and partly from that of the American family who have bought the ancestral home of the Cantervilles. 'Lord Arthur Savile's Crime' is a very good story, too, told in a vein of drollery which is quite distinctive. These two pieces will bear reading aloud, a decidedly severe test.;Lord Arthur Savile's Crime and Other Stories;1;Original contemporary review;1892;1;23;The Athenaeum;United Kingdom;;3352;113;;HathiTrust Digital Library;https://babel.hathitrust.org/cgi/pt?id=uc1.c3470767&seq=89;2021-11-19;2021-11-19;2025-01-17;
2;the prettiest child's story-book we have had since *Alice in Wonderland*;The Happy Prince and Other Tales;1;Original contemporary review;1888;1;1;The World;United Kingdom;;;;;Sturgis (2018;;2020-07-18;2020-07-18;;Metadata missing
3;"THIS little collection of stories for children (hardly longer than a review article shows Mr. Oscar Wilde's genius at its best. The five tales have each a point, are admirably expressed, and show a genuine poetic feeling. What, for instance, could in its slight way be more neatly told than the story which gives the name to the book? The ' Happy Prince' is a great gold statue in the market-place of the town where he once lived and ruled, and since he has been set up on his pedestal he has seen all the woe and want of his city---for the first time. So one by one he parts with his sword-hilt jewels and his sapphire eyes to relieve his people, making a swallow his messenger, and then---but that should be left to the author.
";The Happy Prince and Other Tales;1;Original contemporary review;1888;6;;The Universal Review;United Kingdom;1;;304–308;;Internet Archive;;2021-03-05;2021-03-05;2025-01-17;
4;"The gift of writing fairy tales is rare, and Mr. Oscar Wilde shows that he possesses it in a rare degree. The Happy Prince, and other Stories, are full of charming fancies and quaint humour. Though with a distinct character of their own, they are not unworthy to compare with Hans Andersen, and it is not easy to give higher praise than this. There is a piquant touch of contemporary satire which differentiates Mr. Wilde from the teller of pure fairy tales; but it is so delicately introduced that the illusion is not destroyed and a child would delight in the tales without being worried or troubled by their application, while children of larger growth will enjoy them and profit by them. The illustrations are charming.";The Happy Prince and Other Tales;1;Original contemporary review;1888;9;1;The Athenaeum;United Kingdom;;;286;;Karl Beckson;;2021-03-29;2021-03-29;2025-01-17;
